Step || Expression || Steps without change || Change Distance|| Complexity || Norm
3 || X/X-X || 3 || 0.5985837578773499 || 2 || 0.0
5 || (C/C)/X-X || 1 || 0.34087884426116943 || 3 || 0.5985837578773499
7 || (C/C)/X+X || 1 || 0.4596393406391144 || 3 || 0.6315761208534241
8 || (C/C-X)+X || 0 || 0.2909315228462219 || 3 || 0.8677982091903687
9 || (X/C-X)+X || 0 || 0.32912686467170715 || 3 || 0.9008750319480896
11 || (X/C-C)-X || 1 || 0.4455330967903137 || 3 || 1.0146830081939697
15 || (X/C)^C-X || 3 || 0.5487343072891235 || 3 || 1.1475263833999634
16 || (X/C)^C+X || 0 || 0.2937282621860504 || 3 || 1.3913449048995972
18 || (X/C)^2+X || 1 || 0.3833785355091095 || 3 || 1.410279393196106
19 || (X/C)^2-X || 0 || 0.349039763212204 || 3 || 1.5413949489593506
22 || (X/C)^C-X || 2 || 0.4940706789493561 || 3 || 1.5155576467514038
23 || (X/C)^2-X || 0 || 0.2577879726886749 || 3 || 1.5939688682556152
24 || (X/C)^C-X || 0 || 0.23940621316432953 || 3 || 1.5679185390472412
25 || (X/C)^2+X || 0 || 0.21817605197429657 || 3 || 1.5421271324157715
31 || (X/C)^2-X || 5 || 0.6618369221687317 || 3 || 1.5521719455718994
32 || (X/C)^C-X || 0 || 0.27514687180519104 || 3 || 1.832409143447876
38 || (X/C)^2-X || 5 || 0.6953869462013245 || 3 || 1.8850319385528564
40 || (X/C)^2+X || 1 || 0.45023807883262634 || 3 || 2.1502902507781982
41 || (X/C)^2-X || 0 || 0.26441675424575806 || 3 || 2.2414214611053467
42 || (X/X)^2-X || 0 || 0.32104742527008057 || 3 || 2.341071605682373
45 || (X/X)^2+X || 2 || 0.45672568678855896 || 3 || 2.4072823524475098
46 || (X/X)^2+C*C || 0 || 0.2606067657470703 || 4 || 2.4462976455688477
47 || (X/X)^2+X || 0 || 0.2679890990257263 || 3 || 2.504058599472046
49 || (X/X)^2+C*C || 1 || 0.42417263984680176 || 4 || 2.4958224296569824
51 || (X/X)^2+C/C || 1 || 0.38699355721473694 || 4 || 2.559936285018921
53 || ((C/C)/X)^2+X || 1 || 0.3789161145687103 || 4 || 2.5688834190368652
54 || (X/X)^2+X || 0 || 0.25088995695114136 || 3 || 2.5479307174682617
55 || ((C/C)/X)^2+X || 0 || 0.2817487418651581 || 4 || 2.5739574432373047
56 || (X/X)^2-C/C || 0 || 0.30098336935043335 || 4 || 2.5264158248901367
66 || (X/X)^2+X/C || 9 || 0.9519623517990112 || 4 || 2.56209397315979
70 || (X/X)^2+cos(X) || 3 || 0.6331129670143127 || 4 || 2.8972136974334717
71 || (X/X)^2+X/C || 0 || 0.2847612202167511 || 4 || 2.694708824157715
72 || (X/X)^2-X/C || 0 || 0.3023679852485657 || 4 || 2.594829559326172
73 || (X/X)^2+X^C || 0 || 0.28821924328804016 || 4 || 2.583031177520752
74 || (X/X)^2-X^C || 0 || 0.22871893644332886 || 4 || 2.6670846939086914
75 || (X/X)^2+X^C || 0 || 0.27892589569091797 || 4 || 2.6543712615966797
79 || (C/X)^2+X^C || 3 || 0.5098168849945068 || 4 || 2.6423776149749756
81 || (C/X)^2-X^C || 1 || 0.4144740402698517 || 4 || 2.695260763168335
85 || (C/X)^2+X^C || 3 || 0.5780831575393677 || 4 || 2.644920587539673
86 || (X/X)^2+X^C || 0 || 0.2838370203971863 || 4 || 2.844735860824585
87 || (X/X)^2-X^C || 0 || 0.29188117384910583 || 4 || 2.880774974822998
88 || (X/X)^2-cos(X) || 0 || 0.24452750384807587 || 4 || 2.8904197216033936
89 || (X/X)^2-log(X) || 0 || 0.2782905399799347 || 4 || 2.9333488941192627
90 || (C/X)^2-X^C || 0 || 0.33372366428375244 || 4 || 2.924224615097046
91 || (C/X)^2-log(X) || 0 || 0.2726408541202545 || 4 || 2.9077770709991455
92 || (C/X)^2+log(X) || 0 || 0.32786744832992554 || 4 || 2.8969178199768066
95 || (C/X)^2-log(X) || 2 || 0.5204672813415527 || 4 || 2.8616487979888916
96 || (C/X)^2-X/C || 0 || 0.249872088432312 || 4 || 2.841688632965088
97 || (X/X)^2-X/C || 0 || 0.31305497884750366 || 4 || 2.8059892654418945
98 || (C/X)^2-X/C || 0 || 0.2945261299610138 || 4 || 2.777019739151001
99 || (X/X)^2-X/C || 0 || 0.2456856220960617 || 4 || 2.6983864307403564
100 || (C/X)^C-X/C || 0 || 0.31425172090530396 || 4 || 2.6782479286193848
101 || (C/X)^2-(C/C)/C || 0 || 0.2609884738922119 || 5 || 2.724578857421875
103 || (C/X)^C-exp(C/C) || 1 || 0.44740748405456543 || 5 || 2.8104710578918457
104 || (X/C)^C-X/C || 0 || 0.2685559391975403 || 4 || 2.8657619953155518
105 || (X/C)^2-X/C || 0 || 0.22792774438858032 || 4 || 2.8910884857177734
107 || (C/C)^C-X/C || 1 || 0.37417277693748474 || 4 || 2.9408681392669678
108 || (X/C)^C-X/C || 0 || 0.21957167983055115 || 4 || 2.9168803691864014
109 || (X/C)^C-exp(X) || 0 || 0.21939796209335327 || 4 || 2.9677438735961914
111 || (X/C)^C-X/C || 1 || 0.39647215604782104 || 4 || 2.951859951019287
114 || (C/C)^C-X/C || 2 || 0.4746522903442383 || 4 || 2.9666411876678467
115 || (C/C)^C-sin(C)/C || 0 || 0.22459708154201508 || 5 || 3.0114054679870605
117 || (C/C)^C-X/C || 1 || 0.3699931502342224 || 4 || 2.9418036937713623
121 || (C/C)^C-exp(X) || 3 || 0.6354513764381409 || 4 || 3.0151381492614746
122 || (C/C)^(C*X)-X/C || 0 || 0.2135588675737381 || 5 || 3.2128968238830566
123 || (C/C)^C-X/C || 0 || 0.3536009192466736 || 4 || 3.295894145965576
124 || (C/C)^(C*X)-X/C || 0 || 0.25017446279525757 || 5 || 3.4199066162109375
125 || (C/C)^(C*X)-exp(X) || 0 || 0.23939615488052368 || 5 || 3.4802513122558594
127 || (C/C)^(C*X)-X/C || 1 || 0.44676122069358826 || 5 || 3.4875881671905518
128 || (C/C)^(C*X)-sqrt(X) || 0 || 0.2885242700576782 || 5 || 3.555650234222412
129 || (C/C)^(C*X)-sqrt(C+C) || 0 || 0.22711847722530365 || 6 || 3.53843355178833
130 || (C+C)^(C*X)-sqrt(C+C) || 0 || 0.3712528347969055 || 6 || 3.661508560180664
131 || ((C+C)+C*X)-sqrt(C+C) || 0 || 0.2754386067390442 || 6 || 3.7593889236450195
132 || ((C+C)+C*X)-sqrt(sin(C)) || 0 || 0.2853485643863678 || 6 || 3.806297779083252
133 || (C+C)^(C*X)-exp(C+C) || 0 || 0.31779780983924866 || 6 || 3.7313284873962402
134 || (C+C)^(C*X)-sqrt(X) || 0 || 0.31052982807159424 || 5 || 3.7471094131469727
135 || (C+C)^(C/X)-sqrt(X) || 0 || 0.19438233971595764 || 5 || 3.8109142780303955
136 || (C+C)^(C*X)-sqrt(X) || 0 || 0.27841678261756897 || 5 || 3.798445701599121
137 || ((C+C)+C/X)-sqrt(X) || 0 || 0.30956292152404785 || 5 || 3.798225164413452
139 || (C+C)^(C/X)-exp(sin(C)) || 1 || 0.34900009632110596 || 6 || 3.8845810890197754
140 || (C+C)^(C/X)-sqrt(X) || 0 || 0.31754210591316223 || 5 || 3.894848346710205
141 || (C+C)^C-exp(sin(C)) || 0 || 0.34307020902633667 || 5 || 3.924596071243286
142 || ((C+C)+C)-exp(sin(C)) || 0 || 0.2028275728225708 || 5 || 3.96848201751709
143 || X^C-exp(sin(C)) || 0 || 0.30525410175323486 || 4 || 3.9679596424102783
144 || (X+C)-exp(sin(C)) || 0 || 0.2701837420463562 || 4 || 3.994107723236084
145 || (X+C*X)-exp(sin(C)) || 0 || 0.29512086510658264 || 5 || 3.958958864212036
146 || ((C+C)+C*X)-sqrt(sin(C)) || 0 || 0.2863968014717102 || 6 || 3.981473207473755
147 || (X+C*X)-exp(sin(C)) || 0 || 0.23880407214164734 || 5 || 3.9649531841278076
148 || (X-C*X)-exp(sin(C)) || 0 || 0.29756706953048706 || 5 || 3.9057464599609375
150 || (X+C*X)-exp(sin(C)) || 1 || 0.36897599697113037 || 5 || 3.8873348236083984
151 || (X-C*X)-exp(sin(C)) || 0 || 0.3428386449813843 || 5 || 3.9684512615203857
152 || (X-X)-sqrt(X) || 0 || 0.31388407945632935 || 3 || 3.998986005783081
153 || (X-C*X)-exp(X) || 0 || 0.314849317073822 || 4 || 4.049450397491455
154 || (C/C-C*X)-exp(X) || 0 || 0.277804970741272 || 5 || 4.121938705444336
156 || (C/C-C*X)-sqrt(X) || 1 || 0.540755033493042 || 5 || 4.172863483428955
157 || (C/C-C*X)+exp(X) || 0 || 0.3024613857269287 || 5 || 4.138248920440674
158 || (C/C-C*X)-X/C || 0 || 0.3033781349658966 || 5 || 4.184433937072754
160 || (C/C-C*X)+X/C || 1 || 0.3800128400325775 || 5 || 4.301449298858643
161 || (C/C-C*X)-X/C || 0 || 0.28976503014564514 || 5 || 4.389726161956787
162 || (C/C-C*X)-sqrt(X) || 0 || 0.3309306502342224 || 5 || 4.299149513244629
163 || (X-C*X)-sqrt(X) || 0 || 0.27746066451072693 || 4 || 4.236845016479492
164 || (C/C-X)-sqrt(X) || 0 || 0.3121728003025055 || 4 || 4.207557201385498
168 || (C/C-C*X)-sqrt(X) || 3 || 0.5968902707099915 || 5 || 4.310266017913818
172 || (C/C-X)-sqrt(X) || 3 || 0.6524757742881775 || 4 || 4.3132123947143555
173 || (X-X)-sqrt(X) || 0 || 0.29828107357025146 || 3 || 4.22245979309082
174 || (X-X)-sqrt(C/C) || 0 || 0.26527926325798035 || 4 || 4.274176597595215
175 || (C/C-X)-sqrt(X) || 0 || 0.29217472672462463 || 4 || 4.305130958557129
179 || (C/C+X)-sqrt(X) || 3 || 0.531949520111084 || 4 || 4.311476707458496
180 || (X+X)-sqrt(X) || 0 || 0.27378976345062256 || 3 || 4.469197750091553
181 || (X+X)-sin(X) || 0 || 0.28900933265686035 || 3 || 4.45700216293335
182 || (C/C+X)-X/C || 0 || 0.3336108326911926 || 4 || 4.4818806648254395
185 || (X+X)-sin(X) || 2 || 0.45281726121902466 || 3 || 4.41953182220459
188 || (X-X)-sin(X) || 2 || 0.5630645751953125 || 3 || 4.488833904266357
214 || (X-X)-X/C || 25 || 1.5045757293701172 || 3 || 4.592904090881348
224 || (X-C/X)-X/C || 9 || 0.7862061858177185 || 4 || 5.1115288734436035
225 || (X-X/X)-X/C || 0 || 0.284058153629303 || 4 || 5.042133808135986
226 || (X-C/X)-X/C || 0 || 0.2780953645706177 || 4 || 4.9953413009643555
228 || (X-X/X)-X/C || 1 || 0.4039182662963867 || 4 || 5.084087371826172
229 || (X-X/X)-sin(X) || 0 || 0.32336223125457764 || 4 || 5.077937126159668
234 || (X-X/X)-X/C || 4 || 0.7071513533592224 || 4 || 5.090676784515381
235 || (X-X/X)-sin(X) || 0 || 0.3301101624965668 || 4 || 5.091464996337891
237 || (X-X/X)-X/C || 1 || 0.4223329424858093 || 4 || 5.048117637634277
244 || (X-X/C)-X/C || 6 || 0.7220591306686401 || 4 || 5.027706623077393
245 || (X-X/X)-X || 0 || 0.30188480019569397 || 3 || 5.0660319328308105
246 || (X-X/X)-X/C || 0 || 0.1983690708875656 || 4 || 5.1528449058532715
247 || (X-X/C)-X/C || 0 || 0.24967657029628754 || 4 || 5.224623203277588
248 || ((C+C)-X/X)-X/C || 0 || 0.22977852821350098 || 5 || 5.275784015655518
249 || ((C+C)-X/C)-X || 0 || 0.22663810849189758 || 4 || 5.278539180755615
250 || ((C+C)-X/X)-C/C || 0 || 0.2308611124753952 || 5 || 5.22870397567749
253 || ((C+C)-X/X)-X/C || 2 || 0.5147173404693604 || 5 || 5.286337852478027
259 || (X-X/X)-X/C || 5 || 0.6569021344184875 || 4 || 5.1588897705078125
260 || (X+X/X)-X/C || 0 || 0.30696508288383484 || 4 || 5.053445816040039
261 || (X-X/X)-X/C || 0 || 0.2632298171520233 || 4 || 5.004933834075928
264 || (X+X/X)-X/C || 2 || 0.45868271589279175 || 4 || 4.97783088684082
271 || (C+X/X)-X/C || 6 || 0.7045259475708008 || 4 || 4.94602108001709
272 || (X+X/X)-X/C || 0 || 0.29709357023239136 || 4 || 4.81428337097168
273 || (X-X/X)-X/C || 0 || 0.2878102958202362 || 4 || 4.7827534675598145
274 || (X+C/X)-X/C || 0 || 0.3054500222206116 || 4 || 4.777665138244629
276 || (X-C/X)-X/C || 1 || 0.45529159903526306 || 4 || 4.869495868682861
283 || (C+C/X)-X/C || 6 || 0.7220847010612488 || 4 || 4.854684352874756
285 || (X+C*X)-X/C || 1 || 0.3741947114467621 || 4 || 4.747518062591553
286 || (C-C*X)+X/C || 0 || 0.26010358333587646 || 4 || 4.7940826416015625
287 || (X-C*X)+X/C || 0 || 0.26125216484069824 || 4 || 4.798177719116211
288 || (X-X/X)+X/C || 0 || 0.27615147829055786 || 4 || 4.809809684753418
289 || (C-X*X)+X/C || 0 || 0.2434937208890915 || 4 || 4.832202911376953
290 || (X-X*X)+X/C || 0 || 0.3384089767932892 || 4 || 4.842932224273682
291 || (C-X/X)-X/C || 0 || 0.2572334408760071 || 4 || 4.856677055358887
293 || (X-X/X)-X/C || 1 || 0.44181421399116516 || 4 || 4.917164325714111
294 || (X-X/X)+X/C || 0 || 0.30778539180755615 || 4 || 4.977989196777344
295 || (C-X/X)+X/C || 0 || 0.25799277424812317 || 4 || 5.076353549957275
299 || (C-X*X)+X/C || 3 || 0.5924167633056641 || 4 || 5.162065505981445
301 || (C-X/C)+X/C || 1 || 0.36866551637649536 || 4 || 5.1370978355407715
303 || (C-X/X)+X/C || 1 || 0.32810136675834656 || 4 || 5.173595428466797
304 || (C-X/X)+C/C || 0 || 0.27240967750549316 || 4 || 5.101995468139648
305 || (C-X/X)+X/C || 0 || 0.299839049577713 || 4 || 5.127011775970459
306 || (C-X*X)+X/C || 0 || 0.28682056069374084 || 4 || 5.113698959350586
312 || (X-X*X)+X/C || 5 || 0.6841042637825012 || 4 || 5.077794075012207
315 || (X-X*X)+C/C || 2 || 0.5112609267234802 || 4 || 5.242969989776611
316 || (X-X/X)+C/C || 0 || 0.22641117870807648 || 4 || 5.312878608703613
317 || (X-X/X)+X/C || 0 || 0.2596271336078644 || 4 || 5.433859825134277
318 || (X-X/X)+C/C || 0 || 0.30806270241737366 || 4 || 5.432119369506836
319 || (X-X*X)+X/C || 0 || 0.31529131531715393 || 4 || 5.49692964553833
320 || (X-X/X)+X/C || 0 || 0.3256440758705139 || 4 || 5.4390950202941895
321 || (X-X/X)+C/C || 0 || 0.3273812234401703 || 4 || 5.420369625091553
333 || (X-X*X)+C/C || 11 || 1.073875069618225 || 4 || 5.338846206665039
334 || (C-X*X)+C/C || 0 || 0.29186326265335083 || 4 || 5.389482498168945
336 || (X-X*X)+C/C || 1 || 0.4117574393749237 || 4 || 5.366394996643066
337 || (C-X*X)+C/X || 0 || 0.30689704418182373 || 4 || 5.335399627685547
340 || (X-X*X)+C/C || 2 || 0.5348306894302368 || 4 || 5.194883823394775
343 || (X-X*C)+C/C || 2 || 0.49743741750717163 || 4 || 5.224606990814209
344 || (X-X*C)+X/C || 0 || 0.29987165331840515 || 4 || 5.1764235496521
345 || (X-X*C)+C/C || 0 || 0.2682461142539978 || 4 || 5.154518127441406
346 || (X-X*C)+C*C || 0 || 0.29427194595336914 || 4 || 5.199368476867676
349 || (X-X*C)+X*C || 2 || 0.5307111144065857 || 4 || 5.251944541931152
351 || (X-X*C)+C*C || 1 || 0.37405911087989807 || 4 || 5.317284107208252
352 || (X-X*X)+X*C || 0 || 0.2555725872516632 || 4 || 5.343696117401123
355 || (X-X*C)+X*X || 2 || 0.4388158321380615 || 4 || 5.400510311126709
356 || (X-X*C)+X/X || 0 || 0.2875334918498993 || 4 || 5.37813138961792
357 || (X-X*C)+X*X || 0 || 0.2838769257068634 || 4 || 5.434486389160156
358 || (X-C*C)+X*X || 0 || 0.2925862669944763 || 4 || 5.434402942657471
359 || (X-C*C)+X*C || 0 || 0.3087144196033478 || 4 || 5.42988920211792
360 || (X-C*C)+X*X || 0 || 0.31256672739982605 || 4 || 5.449038028717041
361 || (X-X*C)+X*X || 0 || 0.2951098084449768 || 4 || 5.443671226501465
366 || (X-C*C)+X*C || 4 || 0.6639759540557861 || 4 || 5.4321417808532715
369 || (X-X*C)+X*C || 2 || 0.5263484716415405 || 4 || 5.500387191772461
370 || (X-X*C)+X/C || 0 || 0.33799847960472107 || 4 || 5.535013675689697
371 || ((C+C)-X*C)+X/C || 0 || 0.37798434495925903 || 5 || 5.545682430267334
373 || (X-X*C)+X/C || 1 || 0.34029871225357056 || 4 || 5.529541015625
376 || (X-X*C)+X*C || 2 || 0.4971814751625061 || 4 || 5.482968330383301
377 || (X-C*C)+C*C || 0 || 0.2913927733898163 || 4 || 5.562273979187012
379 || (X-X*C)+C*C || 1 || 0.32332009077072144 || 4 || 5.503870964050293
383 || (X-C*C)+X*C || 3 || 0.5192505121231079 || 4 || 5.42083740234375
385 || (X-C*C)+X/C || 1 || 0.38841795921325684 || 4 || 5.246945858001709
386 || (X-X*C)+X/C || 0 || 0.26732274889945984 || 4 || 5.234012603759766
387 || (X-C*C)-X/C || 0 || 0.26399073004722595 || 4 || 5.208694934844971
388 || (X-X*C)-X/C || 0 || 0.26856374740600586 || 4 || 5.238177299499512
389 || (X-C*C)-X/C || 0 || 0.31053271889686584 || 4 || 5.277589321136475
391 || (X-X*C)-X/C || 1 || 0.3689071238040924 || 4 || 5.30140495300293
404 || (X-X*C)-C/C || 12 || 0.8135330677032471 || 4 || 5.280195236206055
405 || (X-X*C)-X/C || 0 || 0.30610397458076477 || 4 || 5.533538341522217
406 || (X-X/C)-C/C || 0 || 0.2690948247909546 || 4 || 5.509645462036133
409 || (X-X*C)-C/C || 2 || 0.5394443273544312 || 4 || 5.533450126647949
410 || (X-X*C)-X/C || 0 || 0.2677156925201416 || 4 || 5.692740440368652
413 || (X-X*C)-C/C || 2 || 0.4454250931739807 || 4 || 5.73007345199585
414 || ((C+C)-X*C)-C/C || 0 || 0.2849861979484558 || 5 || 5.735502243041992
415 || ((C+C)-X/C)-X || 0 || 0.24893228709697723 || 4 || 5.7911858558654785
419 || ((C+C)-X*C)-X || 3 || 0.5717348456382751 || 4 || 5.759635925292969
420 || ((X+C)-X*C)-X || 0 || 0.2972595989704132 || 4 || 5.88019323348999
422 || ((C+C)-X*C)-X || 1 || 0.35609200596809387 || 4 || 5.805251121520996
423 || ((C+C)-X*X)-X || 0 || 0.27478837966918945 || 4 || 5.868874549865723
424 || ((C+C)-X*C)-X || 0 || 0.31705769896507263 || 4 || 5.861696243286133
431 || ((C+C)-X*X)-X || 6 || 0.9168919920921326 || 4 || 5.7450666427612305
439 || ((X+C)-X*X)-X || 7 || 0.8942407369613647 || 4 || 5.503066539764404
441 || ((X+C)-X*X)+X || 1 || 0.4169180989265442 || 4 || 5.214977264404297
450 || ((X+C)-X*X)-X || 8 || 0.66456538438797 || 4 || 5.281677722930908
453 || ((X+C)-X*X)+X || 2 || 0.4566665589809418 || 4 || 5.2909836769104
461 || ((X+C)-C*X)+X || 7 || 0.7930077314376831 || 4 || 5.312730312347412
463 || ((X+C)-X*X)+X || 1 || 0.3746076226234436 || 4 || 5.482677459716797
464 || ((X+C)-C*X)^X || 0 || 0.28527605533599854 || 4 || 5.539675235748291
466 || ((X+C)-C*X)+X || 1 || 0.42403069138526917 || 4 || 5.534139156341553
490 || ((X+C)-X*X)+X || 23 || 1.3292109966278076 || 4 || 5.552405834197998
503 || ((X+C)-C*X)+X || 12 || 0.9281838536262512 || 4 || 5.387950420379639
504 || ((X+C)-X*X)+X || 0 || 0.23868244886398315 || 4 || 5.730274677276611
506 || ((X+C)-C*X)+X || 1 || 0.3357997536659241 || 4 || 5.702805995941162
507 || ((X+C)-X*X)+X || 0 || 0.22853946685791016 || 4 || 5.700377464294434
509 || (((C+C)+C)-C*X)+X || 1 || 0.3989527225494385 || 5 || 5.673328399658203
510 || ((X+C)-C*X)+X || 0 || 0.27354153990745544 || 4 || 5.743391990661621
513 || (((C+C)+C)-C*X)+X || 2 || 0.5460007786750793 || 5 || 5.679294109344482
521 || ((X+C)-X*X)+X || 7 || 0.766333818435669 || 4 || 5.694128036499023
525 || ((X+C)-X*X)-X || 3 || 0.5326934456825256 || 4 || 5.361832618713379
526 || (((C+C)+C)-X*X)-X || 0 || 0.2867632210254669 || 5 || 5.2547607421875
527 || (((C+C)+C)-C*X)-X || 0 || 0.3234332501888275 || 5 || 5.268836498260498
532 || ((X+C)-C*X)-X || 4 || 0.7394941449165344 || 4 || 5.182147979736328
535 || (((C+C)+C)-C*X)-X || 2 || 0.4879664480686188 || 5 || 5.46976900100708
536 || ((C^C+C)-C*X)-X || 0 || 0.3168279528617859 || 5 || 5.581201076507568
537 || (((C+C)+C)-C*X)-X || 0 || 0.2471255511045456 || 5 || 5.543158531188965
538 || (((X+C)+C)-C*X)-X || 0 || 0.2096012979745865 || 5 || 5.572421550750732
539 || (((C+C)+C)-C*X)-X || 0 || 0.30178990960121155 || 5 || 5.616717338562012
540 || (((X+C)+C)-C*X)-X || 0 || 0.2260320484638214 || 5 || 5.613189220428467
544 || (((X+C)+C)-X*X)-X || 3 || 0.6213338971138 || 5 || 5.639784336090088
545 || (((C+C)+C)-X*X)-X || 0 || 0.2716427445411682 || 5 || 5.556509971618652
546 || (((X+C)+C)-X*C)-X || 0 || 0.2505981922149658 || 5 || 5.6125712394714355
547 || (((X+C)+C)-X*X)-X || 0 || 0.2501019239425659 || 5 || 5.6266889572143555
548 || (((C+C)+C)-X*X)-X || 0 || 0.2508578896522522 || 5 || 5.654601097106934
551 || (((X+C)+C)-X*C)-X || 2 || 0.46930304169654846 || 5 || 5.58562707901001
552 || (((X+C)+C)-X*X)+X || 0 || 0.3325320780277252 || 5 || 5.692277908325195
554 || (((X+C)+C)-X*C)-X || 1 || 0.33854880928993225 || 5 || 5.806514739990234
555 || (((X+C)+C)-X*C)+X || 0 || 0.35389021039009094 || 5 || 5.827375411987305
557 || (((C+C)+C)-C*C)+X || 1 || 0.4344175159931183 || 5 || 5.80481481552124
558 || (((X+C)+C)-C*C)+X || 0 || 0.27276501059532166 || 5 || 5.893093585968018
559 || (((X+C)+C)-X*C)+X || 0 || 0.2634013891220093 || 5 || 5.904118537902832
560 || (((X+C)+C)-C*C)+X || 0 || 0.34185677766799927 || 5 || 5.9253058433532715
562 || (((X+C)+C)-X*C)+X || 1 || 0.3165925145149231 || 5 || 5.882356643676758
566 || (((X+C)+C)-C*C)+X || 3 || 0.5385997295379639 || 5 || 6.008871555328369
567 || (((X+C)+C)-X*C)+X || 0 || 0.25281819701194763 || 5 || 6.032338619232178
577 || (((X+C)+C)-C*C)+X || 9 || 1.084303855895996 || 5 || 6.010907173156738
579 || (((X+C)+C)-C*C)^X || 1 || 0.38928157091140747 || 5 || 5.994846343994141
581 || (((X+C)+C)-C*C)^5 || 1 || 0.392204612493515 || 5 || 5.848083019256592
583 || (((X+C)+C)-C*C)^X || 1 || 0.38600775599479675 || 5 || 5.748263359069824
594 || (((X+C)+C)-C*C)+X || 10 || 1.051169991493225 || 5 || 5.568644046783447
595 || (((X+C)+C)-C*C)^5 || 0 || 0.2577972412109375 || 5 || 5.673252582550049
597 || ((((C-C)+C)+C)-C*C)+X || 1 || 0.4474257528781891 || 6 || 5.717432022094727
598 || ((((C-C)+C)+C)-C*C)^5 || 0 || 0.27193817496299744 || 6 || 5.806191444396973
599 || ((((C-C)+C)+C)-C*C)^X || 0 || 0.27411484718322754 || 6 || 5.842489242553711
602 || ((((C-C)+C)+C)-C*C)+X || 2 || 0.5632908940315247 || 6 || 5.909989356994629
604 || (((C-C)+C)^C-C*C)+X || 1 || 0.3651767671108246 || 6 || 6.0148844718933105
605 || (((C-C)+C)^C-X)+X || 0 || 0.28462374210357666 || 5 || 6.099029064178467
608 || (((C-C)+C)^C-C*C)+X || 2 || 0.6304724216461182 || 6 || 6.184900760650635
610 || (((C-C)+C)^3-C*C)+X || 1 || 0.3948136568069458 || 6 || 6.24079704284668
