steps: 1000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates

X^3/(X*X) || 0 || 0.2949312627315521 || 0 || 4.95574951171875 || True || None
X/(X*X) || 0 || 0.26650020480155945 || 0.2949312627315521 || 5.062169551849365 || True || None
X/(X/X) || 0 || 0.2465926855802536 || 0.39738985896110535 || 5.049505710601807 || True || None
X/(X*X) || 0 || 0.2736225426197052 || 0.44144394993782043 || 5.030799388885498 || False || None
X/(X/X) || 1 || 0.37168464064598083 || 0.5477299690246582 || 5.120919704437256 || False || None
X/(X*X) || 0 || 0.3256288468837738 || 0.6083099842071533 || 5.1249847412109375 || False || None
X/(X/X) || 1 || 0.37953072786331177 || 0.6089262962341309 || 5.07025671005249 || False || None
X/(X*X) || 2 || 0.4781934916973114 || 0.7064802646636963 || 4.888852596282959 || False || None
log(X)/(X*X) || 2 || 0.46010062098503113 || 0.8929219245910645 || 4.9875407218933105 || True || None
log(X)/(X/X) || 11 || 0.8771360516548157 || 0.9575114846229553 || 5.067257881164551 || True || None
X^3/(X/X) || 3 || 0.3985292315483093 || 1.3156907558441162 || 5.1615190505981445 || True || None
X^3/X || 28 || 1.5418603420257568 || 1.400665044784546 || 5.1512370109558105 || True || None
log(X)/X || 1 || 0.35448670387268066 || 1.8053985834121704 || 4.749166488647461 || True || None
log(X)/(X*X) || 7 || 0.8156546950340271 || 1.833741545677185 || 4.752365589141846 || False || None
log(X)/(log(X)*X) || 2 || 0.41321390867233276 || 2.1470723152160645 || 4.918329238891602 || True || None
log(X)/(X*X) || 0 || 0.2902282178401947 || 2.113954782485962 || 4.9771294593811035 || False || None
log(X)/(X*(X-X)) || 2 || 0.5044886469841003 || 2.1531240940093994 || 4.974615573883057 || True || None
log(X)/(log(X)*(X-X)) || 1 || 0.2547604739665985 || 2.1445393562316895 || 5.057940483093262 || True || None
log(X)/(X*(X-X)) || 25 || 1.2258210182189941 || 2.184107780456543 || 5.002072811126709 || False || None
log(X)/(X*X) || 0 || 0.2487509548664093 || 2.2567172050476074 || 4.864135265350342 || False || None
log(X)/(X*(X-X)) || 0 || 0.3058065176010132 || 2.220571756362915 || 4.831334114074707 || False || None
log(X)/(X*X) || 0 || 0.26534685492515564 || 2.26871395111084 || 4.784677505493164 || False || None
log(X)/(X*(X-X)) || 6 || 0.6425549387931824 || 2.269487142562866 || 4.879968166351318 || False || None
log(X)/(X-(X-X)) || 5 || 0.6479032039642334 || 2.1168994903564453 || 5.041996955871582 || True || None
log(X)/(log(X)-(X-X)) || 1 || 0.4469718933105469 || 2.2078301906585693 || 5.170995235443115 || True || None
log(X)/(log(X)*(X-X)) || 0 || 0.25350767374038696 || 2.256854772567749 || 5.1353654861450195 || False || None
log(X)/(X*(X-X)) || 0 || 0.25717291235923767 || 2.3014044761657715 || 5.106858730316162 || False || None
log(X)/(X-(X-X)) || 0 || 0.24877363443374634 || 2.3287315368652344 || 5.150550365447998 || False || None
log(X)/(log(X)-(X-X)) || 0 || 0.31438717246055603 || 2.287109375 || 5.1181864738464355 || False || None
log(X)/(X-(X-X)) || 4 || 0.7326456904411316 || 2.392119884490967 || 5.245906829833984 || False || None
log(X)/(X*(X-X)) || 1 || 0.3404538631439209 || 2.542405128479004 || 5.263662338256836 || False || None
log(X)/(X-(X-X)) || 3 || 0.611099123954773 || 2.523510694503784 || 5.288639068603516 || False || None
log(X)/(X*(X-X)) || 1 || 0.44314706325531006 || 2.5470573902130127 || 5.3627777099609375 || False || None
log(X)/(X-(X-X)) || 0 || 0.34830236434936523 || 2.55161190032959 || 5.481739044189453 || False || None
log(X)/(X*(X-X)) || 0 || 0.33974429965019226 || 2.514124631881714 || 5.444032669067383 || False || None
log(X)/(X-(X-X)) || 4 || 0.6196844577789307 || 2.507612943649292 || 5.395063877105713 || False || None
log(X-X/X)/(X-X) || 2 || 0.41263630986213684 || 2.566983699798584 || 5.575457572937012 || True || None
log(X)/(X-(X-X)) || 0 || 0.32315489649772644 || 2.4524435997009277 || 5.514954090118408 || False || None
log(X-X/X)/(X-(X-X)) || 8 || 0.7478956580162048 || 2.5103867053985596 || 5.533479690551758 || True || None
log(X-X*X)/(X-X) || 0 || 0.2832716703414917 || 2.660198450088501 || 5.760664463043213 || True || None
log(X-X/X)/(X-X) || 1 || 0.49601319432258606 || 2.6960017681121826 || 5.804290294647217 || False || None
log(X-X/X)/(log(X)-X*X) || 0 || 0.3192424774169922 || 2.679931640625 || 5.716435432434082 || True || None
log(X-X/X)/(log(X)-X) || 0 || 0.2658792734146118 || 2.7232093811035156 || 5.7825188636779785 || True || None
log(X)/(log(X)-X) || 0 || 0.2914944291114807 || 2.760707139968872 || 5.85167932510376 || True || None
log(X-X/X)/(log(X)-X) || 0 || 0.30194780230522156 || 2.7915165424346924 || 5.944777965545654 || False || None
log(X)/(log(X)-X*X) || 6 || 0.7221053838729858 || 2.867292881011963 || 6.000062942504883 || True || None
log(X-X/X)/(log(X)-X*X) || 1 || 0.4055788218975067 || 3.09450364112854 || 6.08428430557251 || False || None
