Step || Expression || Steps without change || Change Distance|| Complexity || Norm
3 || X/X-X || 3 || 0.5131117701530457 || 2 || 0.0
4 || X/X+X || 0 || 0.2536349594593048 || 2 || 0.5131117701530457
10 || X/X-X || 5 || 0.6253904700279236 || 2 || 0.5977899432182312
12 || X/X+X || 1 || 0.4526174068450928 || 2 || 0.8712858557701111
13 || (X/X)/X || 0 || 0.33157914876937866 || 2 || 1.0084203481674194
15 || X/X-X || 1 || 0.44538775086402893 || 2 || 1.0580130815505981
16 || X/X-C/C || 0 || 0.3041190803050995 || 3 || 1.2709463834762573
17 || X/X-C/X || 0 || 0.25332963466644287 || 3 || 1.3361341953277588
21 || (X/X)/X || 3 || 0.5379756093025208 || 2 || 1.3739550113677979
22 || X/X-C/X || 0 || 0.2694222927093506 || 3 || 1.3790920972824097
23 || X/X-X || 0 || 0.27042216062545776 || 2 || 1.3865998983383179
24 || (C/C)/X-X || 0 || 0.28066977858543396 || 3 || 1.3385272026062012
27 || X/X-X || 2 || 0.45753803849220276 || 2 || 1.2531452178955078
29 || (C/C)/X-X || 1 || 0.4217349588871002 || 3 || 1.2074253559112549
30 || X/X-X || 0 || 0.2833990752696991 || 2 || 1.2548969984054565
31 || X/X-C/X || 0 || 0.317470520734787 || 3 || 1.316250205039978
32 || X/X-X || 0 || 0.2969835698604584 || 2 || 1.27156400680542
34 || (C/C)/X-X || 1 || 0.28943300247192383 || 3 || 1.2723225355148315
35 || X/X-X || 0 || 0.2679394483566284 || 2 || 1.3209062814712524
37 || (C/C)/X-X || 1 || 0.3454448878765106 || 3 || 1.2995703220367432
38 || X/X-X || 0 || 0.2348640114068985 || 2 || 1.3408297300338745
41 || (C/C)/X-X || 2 || 0.532368004322052 || 3 || 1.3653556108474731
42 || (C/C)/C-X || 0 || 0.25775346159935 || 3 || 1.4247639179229736
43 || (C/C)/X-X || 0 || 0.2508697807788849 || 3 || 1.4680769443511963
44 || ((C/C)/X)/X || 0 || 0.3310208022594452 || 3 || 1.4496889114379883
52 || (C/C)/X-X || 7 || 0.8291295170783997 || 3 || 1.469925880432129
64 || ((C/C)/X)*X || 11 || 0.984192430973053 || 3 || 1.8567790985107422
66 || ((X/C)/X)*X || 1 || 0.3468911945819855 || 3 || 2.459009885787964
70 || ((C/C)/X)*X || 3 || 0.5822930932044983 || 3 || 2.4261586666107178
72 || ((C/C)/X)*C || 1 || 0.3644445240497589 || 3 || 2.2632195949554443
78 || ((X/C)/X)*C || 5 || 0.769131600856781 || 3 || 2.2915289402008057
87 || ((X/C)/X)*X || 8 || 0.913919985294342 || 3 || 2.5662753582000732
88 || (X/C)/X-X || 0 || 0.3278118968009949 || 3 || 2.7119386196136475
90 || (X/C)/C^2-X || 1 || 0.28872573375701904 || 4 || 2.770051956176758
91 || ((X/C)/C^2)*X || 0 || 0.2602100074291229 || 4 || 2.763763666152954
97 || (X/C)/C^2-X || 5 || 0.7533079981803894 || 4 || 2.7618839740753174
100 || (X*C)/C^2-X || 2 || 0.48873284459114075 || 4 || 2.813790798187256
103 || (X*C)/C^2-C || 2 || 0.5523261427879333 || 4 || 2.9361560344696045
104 || ((C/C)*C)/C^2-C || 0 || 0.3042409420013428 || 5 || 2.820345878601074
106 || ((C/C)*C)/X-C || 1 || 0.4502565860748291 || 4 || 2.7679855823516846
107 || (X*C)/X-C || 0 || 0.2837884724140167 || 3 || 2.67242169380188
113 || (X*C)/C^2-C || 5 || 0.7532526850700378 || 4 || 2.595451831817627
114 || ((C/C)*C)/X-C || 0 || 0.3607669174671173 || 4 || 2.8157904148101807
115 || (X*C)/X-C || 0 || 0.27452245354652405 || 3 || 2.8208882808685303
117 || (((C/C)*C)/X)*C || 1 || 0.41264352202415466 || 4 || 2.8260281085968018
118 || ((X*C)/X)*C || 0 || 0.2648463249206543 || 3 || 2.9109954833984375
125 || (((C/C)*C)/X)*C || 6 || 0.7517168521881104 || 4 || 2.946047067642212
127 || ((X*C)/X)*C || 1 || 0.3961162269115448 || 3 || 3.0996365547180176
128 || ((X/C)/X)*C || 0 || 0.2854061424732208 || 3 || 3.1263113021850586
129 || (((C/C)/C)/X)*C || 0 || 0.2840528190135956 || 4 || 3.141737937927246
132 || (((C/C)*C)/X)*C || 2 || 0.47627952694892883 || 4 || 3.1265361309051514
139 || (((C/C)*C)/X)*X || 6 || 0.8192305564880371 || 4 || 3.059462308883667
142 || ((X*C)/X)*X || 2 || 0.4433578550815582 || 3 || 2.9558424949645996
144 || (((C/C)*C)/X)*X || 1 || 0.39115723967552185 || 4 || 2.9202330112457275
146 || (((C/C)*C)/X)*C || 1 || 0.39449426531791687 || 4 || 3.011037826538086
148 || (((C/C)*C)/X)*X || 1 || 0.3617962896823883 || 4 || 2.9168007373809814
150 || (((C/C)*C)/X)*C || 1 || 0.482071191072464 || 4 || 2.921766519546509
151 || (((C/C)/C)/X)*C || 0 || 0.2979157567024231 || 4 || 3.023350238800049
153 || (((C/C)/C)/C^2)*C || 1 || 0.4354628026485443 || 5 || 3.0262463092803955
154 || (((C/C)/C)/X)*C || 0 || 0.2874552607536316 || 4 || 2.921020269393921
155 || ((X/C)/C^2)*C || 0 || 0.3168664574623108 || 4 || 2.903650999069214
171 || ((X/C)/C^2)*X || 15 || 1.1121705770492554 || 4 || 2.8537583351135254
184 || ((X/C)/X^2)*X || 12 || 0.9701431393623352 || 4 || 3.3155734539031982
185 || ((C/C)/X^2)*X || 0 || 0.25330880284309387 || 4 || 3.5867483615875244
186 || ((X/C)/X^2)*X || 0 || 0.2527431547641754 || 4 || 3.5803821086883545
190 || ((X/C)/(C-X)^2)*X || 3 || 0.5877329111099243 || 5 || 3.607983112335205
193 || ((X/C)/X^2)*X || 2 || 0.5264637470245361 || 4 || 3.656312942504883
196 || ((X/C)/(C-X)^2)*X || 2 || 0.49655234813690186 || 5 || 3.6816110610961914
197 || ((C/C)/(C-X)^2)*X || 0 || 0.2614358365535736 || 5 || 3.7004661560058594
198 || ((C/C)/(C*X)^2)*X || 0 || 0.21700455248355865 || 5 || 3.6546213626861572
199 || ((X/C)/(C/X)^2)*X || 0 || 0.2915573716163635 || 5 || 3.7503085136413574
200 || ((X/C)/X^4)*X || 0 || 0.3460999131202698 || 4 || 3.7846009731292725
203 || ((C/C)/(C/X)^4)*X || 2 || 0.48886919021606445 || 5 || 3.7946441173553467
204 || ((C/C)/(C-X)^4)*X || 0 || 0.2808575928211212 || 5 || 3.773921251296997
205 || ((X/C)/(C-X)^2)*X || 0 || 0.33773964643478394 || 5 || 3.7871804237365723
206 || ((X/C)/(C*X)^2)*X || 0 || 0.30478304624557495 || 5 || 3.9123728275299072
208 || ((X/C)/(C-X)^2)*X || 1 || 0.38496285676956177 || 5 || 4.005741596221924
209 || ((X/C)/(X-X)^2)*X || 0 || 0.31972211599349976 || 5 || 4.0041351318359375
