steps: 10000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates

X/X || 33 || 1.2997225522994995 || 0 || 6.526673793792725 || True || None
X^3/X || 8 || 0.9489148855209351 || 1.2997225522994995 || 6.709010601043701 || True || None
X^3+X || 11 || 0.8694573640823364 || 1.8982927799224854 || 6.5307297706604 || True || None
(sin(X))^3+X || 4 || 0.547224223613739 || 2.0985236167907715 || 6.5073137283325195 || True || None
sin(sin(X))+X || 0 || 0.2653804123401642 || 2.1567039489746094 || 6.592480182647705 || True || None
(sin(X))^3+X || 3 || 0.5615268349647522 || 2.0912699699401855 || 6.597884178161621 || False || None
X^3+X || 2 || 0.5644010305404663 || 2.130659818649292 || 6.55501127243042 || False || None
(X^3)^5 || 0 || 0.2574065625667572 || 2.281442403793335 || 6.579113483428955 || True || None
X*X+X || 0 || 0.28901755809783936 || 2.303173542022705 || 6.642260551452637 || True || None
sin(X)*X+X || 1 || 0.38307657837867737 || 2.373170852661133 || 6.630840301513672 || True || None
(sin(X)*X)^5 || 3 || 0.6713513731956482 || 2.394885778427124 || 6.6229143142700195 || True || None
(X*X)^5 || 0 || 0.2990432679653168 || 2.3993678092956543 || 6.646401405334473 || True || None
(sin(X)*X)^5 || 10 || 0.9106532335281372 || 2.404571533203125 || 6.661355972290039 || False || None
(sin(sin(X)))^5 || 0 || 0.25009775161743164 || 2.699756145477295 || 6.9237799644470215 || True || None
(sin(X)*X)^5 || 0 || 0.2826475501060486 || 2.696571111679077 || 6.970146656036377 || False || None
(X*X)^5 || 16 || 1.274587869644165 || 2.6816742420196533 || 6.928389549255371 || False || None
(X*X)^3 || 0 || 0.24785728752613068 || 2.9498181343078613 || 6.943798065185547 || True || None
(X*X)^5 || 2 || 0.658575177192688 || 2.8614203929901123 || 6.867406845092773 || False || None
X*X+X || 1 || 0.3877798914909363 || 2.8124988079071045 || 6.71720552444458 || False || None
sin(X)+X || 0 || 0.25926077365875244 || 2.786451578140259 || 6.71101713180542 || True || None
(X*X)^5 || 0 || 0.30290883779525757 || 2.7334976196289062 || 6.652827262878418 || False || None
(sin(X))^5 || 0 || 0.36206185817718506 || 2.712064027786255 || 6.708059310913086 || True || None
(X*X)^5 || 1 || 0.38662421703338623 || 2.8634531497955322 || 6.629132270812988 || False || None
X^5 || 34 || 1.512495756149292 || 2.717979669570923 || 6.58398962020874 || True || None
